n_obs,d,mu_norm,equal_space_mu,n_proj,B,sim,alpha,p_0,avg_ts,reject
100,1,7,0,100,100,88,0.1,0.5,,1
100,1,7,0,100,100,89,0.1,0.5,,1
100,1,7,0,100,100,90,0.1,0.5,,1
100,1,7,0,100,100,91,0.1,0.5,,1
100,1,7,0,100,100,92,0.1,0.5,,1
100,1,7,0,100,100,93,0.1,0.5,,1
100,1,7,0,100,100,94,0.1,0.5,,1
100,1,7,0,100,100,95,0.1,0.5,,1
100,1,7,0,100,100,96,0.1,0.5,,1
100,1,7,0,100,100,97,0.1,0.5,,1
100,1,7,0,100,100,98,0.1,0.5,,1
100,1,7,0,100,100,99,0.1,0.5,,1
100,1,7,0,100,100,100,0.1,0.5,,1
100,1,7,0,100,100,101,0.1,0.5,,1
100,1,7,0,100,100,102,0.1,0.5,,1
100,1,7,0,100,100,103,0.1,0.5,,1
100,1,7,0,100,100,104,0.1,0.5,,1
100,1,7,0,100,100,105,0.1,0.5,,1
100,1,7,0,100,100,106,0.1,0.5,,1
100,1,7,0,100,100,107,0.1,0.5,,1
100,1,7,0,100,100,108,0.1,0.5,,1
100,1,7,0,100,100,109,0.1,0.5,,1
100,1,7,0,100,100,110,0.1,0.5,,1
100,1,7,0,100,100,111,0.1,0.5,,1
100,1,7,0,100,100,112,0.1,0.5,,1
100,1,7,0,100,100,113,0.1,0.5,,1
100,1,7,0,100,100,114,0.1,0.5,,1
100,1,7,0,100,100,115,0.1,0.5,,1
100,1,7,0,100,100,116,0.1,0.5,,1
100,1,7,0,100,100,117,0.1,0.5,,1
100,1,7,0,100,100,118,0.1,0.5,,1
100,1,7,0,100,100,119,0.1,0.5,,1
100,1,7,0,100,100,120,0.1,0.5,,1
100,1,7,0,100,100,121,0.1,0.5,,1
100,1,7,0,100,100,122,0.1,0.5,,1
100,1,7,0,100,100,123,0.1,0.5,,1
100,1,7,0,100,100,124,0.1,0.5,,1
100,1,7,0,100,100,125,0.1,0.5,,1
100,1,7,0,100,100,126,0.1,0.5,,1
100,1,7,0,100,100,127,0.1,0.5,,1
100,1,7,0,100,100,128,0.1,0.5,,1
100,1,7,0,100,100,129,0.1,0.5,,1
100,1,7,0,100,100,130,0.1,0.5,,1
100,1,7,0,100,100,131,0.1,0.5,,1
100,1,7,0,100,100,132,0.1,0.5,,1
100,1,7,0,100,100,133,0.1,0.5,,1
100,1,7,0,100,100,134,0.1,0.5,,1
100,1,7,0,100,100,135,0.1,0.5,,1
100,1,7,0,100,100,136,0.1,0.5,,1
100,1,7,0,100,100,137,0.1,0.5,,1
100,1,7,0,100,100,138,0.1,0.5,,1
100,1,7,0,100,100,139,0.1,0.5,,1
100,1,7,0,100,100,140,0.1,0.5,,1
100,1,7,0,100,100,141,0.1,0.5,,1
100,1,7,0,100,100,142,0.1,0.5,,1
100,1,7,0,100,100,143,0.1,0.5,,1
100,1,7,0,100,100,144,0.1,0.5,,1
100,1,7,0,100,100,145,0.1,0.5,,1
100,1,7,0,100,100,146,0.1,0.5,,1
100,1,7,0,100,100,147,0.1,0.5,,1
100,1,7,0,100,100,148,0.1,0.5,,1
100,1,7,0,100,100,149,0.1,0.5,,1
100,1,7,0,100,100,150,0.1,0.5,,1
100,1,7,0,100,100,151,0.1,0.5,,1
100,1,7,0,100,100,152,0.1,0.5,,1
100,1,7,0,100,100,153,0.1,0.5,,1
100,1,7,0,100,100,154,0.1,0.5,,1
100,1,7,0,100,100,155,0.1,0.5,,1
100,1,7,0,100,100,156,0.1,0.5,,1
100,1,7,0,100,100,157,0.1,0.5,,1
100,1,7,0,100,100,158,0.1,0.5,,1
100,1,7,0,100,100,159,0.1,0.5,,1
100,1,7,0,100,100,160,0.1,0.5,,1
100,1,7,0,100,100,161,0.1,0.5,,1
100,1,7,0,100,100,162,0.1,0.5,,1
100,1,7,0,100,100,163,0.1,0.5,,1
100,1,7,0,100,100,164,0.1,0.5,,1
100,1,7,0,100,100,165,0.1,0.5,,1
100,1,7,0,100,100,166,0.1,0.5,,1
100,1,7,0,100,100,167,0.1,0.5,,1
100,1,7,0,100,100,168,0.1,0.5,,1
100,1,7,0,100,100,169,0.1,0.5,,1
100,1,7,0,100,100,170,0.1,0.5,,1
100,1,7,0,100,100,171,0.1,0.5,,1
100,1,7,0,100,100,172,0.1,0.5,,1
100,1,7,0,100,100,173,0.1,0.5,,1
100,1,7,0,100,100,174,0.1,0.5,,1
100,1,7,0,100,100,175,0.1,0.5,,1
100,1,7,0,100,100,176,0.1,0.5,,1
100,1,7,0,100,100,177,0.1,0.5,,1
100,1,7,0,100,100,178,0.1,0.5,,1
100,1,7,0,100,100,179,0.1,0.5,,1
100,1,7,0,100,100,180,0.1,0.5,,1
100,1,7,0,100,100,181,0.1,0.5,,1
100,1,7,0,100,100,182,0.1,0.5,,1
100,1,7,0,100,100,183,0.1,0.5,,1
100,1,7,0,100,100,184,0.1,0.5,,1
100,1,7,0,100,100,185,0.1,0.5,,1
100,1,7,0,100,100,186,0.1,0.5,,1
100,1,7,0,100,100,187,0.1,0.5,,1
100,1,7,0,100,100,188,0.1,0.5,,1
100,1,7,0,100,100,189,0.1,0.5,,1
100,1,7,0,100,100,190,0.1,0.5,,1
100,1,7,0,100,100,191,0.1,0.5,,1
100,1,7,0,100,100,192,0.1,0.5,,1
100,1,7,0,100,100,193,0.1,0.5,,1
100,1,7,0,100,100,194,0.1,0.5,,1
100,1,7,0,100,100,195,0.1,0.5,,1
100,1,7,0,100,100,196,0.1,0.5,,1
100,1,7,0,100,100,197,0.1,0.5,,1
100,1,7,0,100,100,198,0.1,0.5,,1
100,1,7,0,100,100,199,0.1,0.5,,1
100,1,7,0,100,100,200,0.1,0.5,,1
100,1,8,0,100,100,1,0.1,0.5,,1
100,1,8,0,100,100,2,0.1,0.5,,1
100,1,8,0,100,100,3,0.1,0.5,,1
100,1,8,0,100,100,4,0.1,0.5,,1
100,1,8,0,100,100,5,0.1,0.5,,1
100,1,8,0,100,100,6,0.1,0.5,,1
100,1,8,0,100,100,7,0.1,0.5,,1
100,1,8,0,100,100,8,0.1,0.5,,1
100,1,8,0,100,100,9,0.1,0.5,,1
100,1,8,0,100,100,10,0.1,0.5,,1
100,1,8,0,100,100,11,0.1,0.5,,1
100,1,8,0,100,100,12,0.1,0.5,,1
100,1,8,0,100,100,13,0.1,0.5,,1
100,1,8,0,100,100,14,0.1,0.5,,1
100,1,8,0,100,100,15,0.1,0.5,,1
100,1,8,0,100,100,16,0.1,0.5,,1
100,1,8,0,100,100,17,0.1,0.5,,1
100,1,8,0,100,100,18,0.1,0.5,,1
100,1,8,0,100,100,19,0.1,0.5,,1
100,1,8,0,100,100,20,0.1,0.5,,1
100,1,8,0,100,100,21,0.1,0.5,,1
100,1,8,0,100,100,22,0.1,0.5,,1
100,1,8,0,100,100,23,0.1,0.5,,1
100,1,8,0,100,100,24,0.1,0.5,,1
100,1,8,0,100,100,25,0.1,0.5,,1
100,1,8,0,100,100,26,0.1,0.5,,1
100,1,8,0,100,100,27,0.1,0.5,,1
100,1,8,0,100,100,28,0.1,0.5,,1
100,1,8,0,100,100,29,0.1,0.5,,1
100,1,8,0,100,100,30,0.1,0.5,,1
100,1,8,0,100,100,31,0.1,0.5,,1
100,1,8,0,100,100,32,0.1,0.5,,1
100,1,8,0,100,100,33,0.1,0.5,,1
100,1,8,0,100,100,34,0.1,0.5,,1
100,1,8,0,100,100,35,0.1,0.5,,1
100,1,8,0,100,100,36,0.1,0.5,,1
100,1,8,0,100,100,37,0.1,0.5,,1
100,1,8,0,100,100,38,0.1,0.5,,1
100,1,8,0,100,100,39,0.1,0.5,,1
100,1,8,0,100,100,40,0.1,0.5,,1
100,1,8,0,100,100,41,0.1,0.5,,1
100,1,8,0,100,100,42,0.1,0.5,,1
100,1,8,0,100,100,43,0.1,0.5,,1
100,1,8,0,100,100,44,0.1,0.5,,1
100,1,8,0,100,100,45,0.1,0.5,,1
100,1,8,0,100,100,46,0.1,0.5,,1
100,1,8,0,100,100,47,0.1,0.5,,1
100,1,8,0,100,100,48,0.1,0.5,,1
100,1,8,0,100,100,49,0.1,0.5,,1
100,1,8,0,100,100,50,0.1,0.5,,1
100,1,8,0,100,100,51,0.1,0.5,,1
100,1,8,0,100,100,52,0.1,0.5,,1
100,1,8,0,100,100,53,0.1,0.5,,1
100,1,8,0,100,100,54,0.1,0.5,,1
100,1,8,0,100,100,55,0.1,0.5,,1
100,1,8,0,100,100,56,0.1,0.5,,1
100,1,8,0,100,100,57,0.1,0.5,,1
100,1,8,0,100,100,58,0.1,0.5,,1
100,1,8,0,100,100,59,0.1,0.5,,1
100,1,8,0,100,100,60,0.1,0.5,,1
100,1,8,0,100,100,61,0.1,0.5,,1
100,1,8,0,100,100,62,0.1,0.5,,1
100,1,8,0,100,100,63,0.1,0.5,,1
100,1,8,0,100,100,64,0.1,0.5,,1
100,1,8,0,100,100,65,0.1,0.5,,1
100,1,8,0,100,100,66,0.1,0.5,,1
100,1,8,0,100,100,67,0.1,0.5,,1
100,1,8,0,100,100,68,0.1,0.5,,1
100,1,8,0,100,100,69,0.1,0.5,,1
100,1,8,0,100,100,70,0.1,0.5,,1
100,1,8,0,100,100,71,0.1,0.5,,1
100,1,8,0,100,100,72,0.1,0.5,,1
100,1,8,0,100,100,73,0.1,0.5,,1
100,1,8,0,100,100,74,0.1,0.5,,1
100,1,8,0,100,100,75,0.1,0.5,,1
100,1,8,0,100,100,76,0.1,0.5,,1
100,1,8,0,100,100,77,0.1,0.5,,1
100,1,8,0,100,100,78,0.1,0.5,,1
100,1,8,0,100,100,79,0.1,0.5,,1
100,1,8,0,100,100,80,0.1,0.5,,1
100,1,8,0,100,100,81,0.1,0.5,,1
100,1,8,0,100,100,82,0.1,0.5,,1
100,1,8,0,100,100,83,0.1,0.5,,1
100,1,8,0,100,100,84,0.1,0.5,,1
100,1,8,0,100,100,85,0.1,0.5,,1
100,1,8,0,100,100,86,0.1,0.5,,1
100,1,8,0,100,100,87,0.1,0.5,,1
100,1,8,0,100,100,88,0.1,0.5,,1
100,1,8,0,100,100,89,0.1,0.5,,1
100,1,8,0,100,100,90,0.1,0.5,,1
100,1,8,0,100,100,91,0.1,0.5,,1
100,1,8,0,100,100,92,0.1,0.5,,1
100,1,8,0,100,100,93,0.1,0.5,,1
100,1,8,0,100,100,94,0.1,0.5,,1
100,1,8,0,100,100,95,0.1,0.5,,1
100,1,8,0,100,100,96,0.1,0.5,,1
100,1,8,0,100,100,97,0.1,0.5,,1
100,1,8,0,100,100,98,0.1,0.5,,1
100,1,8,0,100,100,99,0.1,0.5,,1
100,1,8,0,100,100,100,0.1,0.5,,1
100,1,8,0,100,100,101,0.1,0.5,,1
100,1,8,0,100,100,102,0.1,0.5,,1
100,1,8,0,100,100,103,0.1,0.5,,1
100,1,8,0,100,100,104,0.1,0.5,,1
100,1,8,0,100,100,105,0.1,0.5,,1
100,1,8,0,100,100,106,0.1,0.5,,1
100,1,8,0,100,100,107,0.1,0.5,,1
100,1,8,0,100,100,108,0.1,0.5,,1
100,1,8,0,100,100,109,0.1,0.5,,1
100,1,8,0,100,100,110,0.1,0.5,,1
100,1,8,0,100,100,111,0.1,0.5,,1
100,1,8,0,100,100,112,0.1,0.5,,1
100,1,8,0,100,100,113,0.1,0.5,,1
100,1,8,0,100,100,114,0.1,0.5,,1
100,1,8,0,100,100,115,0.1,0.5,,1
100,1,8,0,100,100,116,0.1,0.5,,1
100,1,8,0,100,100,117,0.1,0.5,,1
100,1,8,0,100,100,118,0.1,0.5,,1
100,1,8,0,100,100,119,0.1,0.5,,1
100,1,8,0,100,100,120,0.1,0.5,,1
100,1,8,0,100,100,121,0.1,0.5,,1
100,1,8,0,100,100,122,0.1,0.5,,1
100,1,8,0,100,100,123,0.1,0.5,,1
100,1,8,0,100,100,124,0.1,0.5,,1
100,1,8,0,100,100,125,0.1,0.5,,1
100,1,8,0,100,100,126,0.1,0.5,,1
100,1,8,0,100,100,127,0.1,0.5,,1
100,1,8,0,100,100,128,0.1,0.5,,1
100,1,8,0,100,100,129,0.1,0.5,,1
100,1,8,0,100,100,130,0.1,0.5,,1
100,1,8,0,100,100,131,0.1,0.5,,1
100,1,8,0,100,100,132,0.1,0.5,,1
100,1,8,0,100,100,133,0.1,0.5,,1
100,1,8,0,100,100,134,0.1,0.5,,1
100,1,8,0,100,100,135,0.1,0.5,,1
100,1,8,0,100,100,136,0.1,0.5,,1
100,1,8,0,100,100,137,0.1,0.5,,1
100,1,8,0,100,100,138,0.1,0.5,,1
100,1,8,0,100,100,139,0.1,0.5,,1
100,1,8,0,100,100,140,0.1,0.5,,1
100,1,8,0,100,100,141,0.1,0.5,,1
100,1,8,0,100,100,142,0.1,0.5,,1
100,1,8,0,100,100,143,0.1,0.5,,1
100,1,8,0,100,100,144,0.1,0.5,,1
100,1,8,0,100,100,145,0.1,0.5,,1
100,1,8,0,100,100,146,0.1,0.5,,1
100,1,8,0,100,100,147,0.1,0.5,,1
100,1,8,0,100,100,148,0.1,0.5,,1
100,1,8,0,100,100,149,0.1,0.5,,1
100,1,8,0,100,100,150,0.1,0.5,,1
100,1,8,0,100,100,151,0.1,0.5,,1
100,1,8,0,100,100,152,0.1,0.5,,1
100,1,8,0,100,100,153,0.1,0.5,,1
100,1,8,0,100,100,154,0.1,0.5,,1
100,1,8,0,100,100,155,0.1,0.5,,1
100,1,8,0,100,100,156,0.1,0.5,,1
100,1,8,0,100,100,157,0.1,0.5,,1
100,1,8,0,100,100,158,0.1,0.5,,1
100,1,8,0,100,100,159,0.1,0.5,,1
100,1,8,0,100,100,160,0.1,0.5,,1
100,1,8,0,100,100,161,0.1,0.5,,1
100,1,8,0,100,100,162,0.1,0.5,,1
100,1,8,0,100,100,163,0.1,0.5,,1
100,1,8,0,100,100,164,0.1,0.5,,1
100,1,8,0,100,100,165,0.1,0.5,,1
100,1,8,0,100,100,166,0.1,0.5,,1
100,1,8,0,100,100,167,0.1,0.5,,1
100,1,8,0,100,100,168,0.1,0.5,,1
100,1,8,0,100,100,169,0.1,0.5,,1
100,1,8,0,100,100,170,0.1,0.5,,1
100,1,8,0,100,100,171,0.1,0.5,,1
100,1,8,0,100,100,172,0.1,0.5,,1
100,1,8,0,100,100,173,0.1,0.5,,1
100,1,8,0,100,100,174,0.1,0.5,,1
100,1,8,0,100,100,175,0.1,0.5,,1
100,1,8,0,100,100,176,0.1,0.5,,1
100,1,8,0,100,100,177,0.1,0.5,,1
100,1,8,0,100,100,178,0.1,0.5,,1
100,1,8,0,100,100,179,0.1,0.5,,1
100,1,8,0,100,100,180,0.1,0.5,,1
100,1,8,0,100,100,181,0.1,0.5,,1
100,1,8,0,100,100,182,0.1,0.5,,1
100,1,8,0,100,100,183,0.1,0.5,,1
100,1,8,0,100,100,184,0.1,0.5,,1
100,1,8,0,100,100,185,0.1,0.5,,1
100,1,8,0,100,100,186,0.1,0.5,,1
100,1,8,0,100,100,187,0.1,0.5,,1
100,1,8,0,100,100,188,0.1,0.5,,1
100,1,8,0,100,100,189,0.1,0.5,,1
100,1,8,0,100,100,190,0.1,0.5,,1
100,1,8,0,100,100,191,0.1,0.5,,1
100,1,8,0,100,100,192,0.1,0.5,,1
100,1,8,0,100,100,193,0.1,0.5,,1
100,1,8,0,100,100,194,0.1,0.5,,1
100,1,8,0,100,100,195,0.1,0.5,,1
100,1,8,0,100,100,196,0.1,0.5,,1
100,1,8,0,100,100,197,0.1,0.5,,1
100,1,8,0,100,100,198,0.1,0.5,,1
100,1,8,0,100,100,199,0.1,0.5,,1
100,1,8,0,100,100,200,0.1,0.5,,1
100,1,10,0,100,100,1,0.1,0.5,,1
100,1,10,0,100,100,2,0.1,0.5,,1
100,1,10,0,100,100,3,0.1,0.5,,1
100,1,10,0,100,100,4,0.1,0.5,,1
100,1,10,0,100,100,5,0.1,0.5,,1
100,1,10,0,100,100,6,0.1,0.5,,1
100,1,10,0,100,100,7,0.1,0.5,,1
100,1,10,0,100,100,8,0.1,0.5,,1
100,1,10,0,100,100,9,0.1,0.5,,1
100,1,10,0,100,100,10,0.1,0.5,,1
100,1,10,0,100,100,11,0.1,0.5,,1
100,1,10,0,100,100,12,0.1,0.5,,1
100,1,10,0,100,100,13,0.1,0.5,,1
100,1,10,0,100,100,14,0.1,0.5,,1
100,1,10,0,100,100,15,0.1,0.5,,1
100,1,10,0,100,100,16,0.1,0.5,,1
100,1,10,0,100,100,17,0.1,0.5,,1
100,1,10,0,100,100,18,0.1,0.5,,1
100,1,10,0,100,100,19,0.1,0.5,,1
100,1,10,0,100,100,20,0.1,0.5,,1
100,1,10,0,100,100,21,0.1,0.5,,1
100,1,10,0,100,100,22,0.1,0.5,,1
100,1,10,0,100,100,23,0.1,0.5,,1
100,1,10,0,100,100,24,0.1,0.5,,1
100,1,10,0,100,100,25,0.1,0.5,,1
100,1,10,0,100,100,26,0.1,0.5,,1
100,1,10,0,100,100,27,0.1,0.5,,1
100,1,10,0,100,100,28,0.1,0.5,,1
100,1,10,0,100,100,29,0.1,0.5,,1
100,1,10,0,100,100,30,0.1,0.5,,1
100,1,10,0,100,100,31,0.1,0.5,,1
100,1,10,0,100,100,32,0.1,0.5,,1
100,1,10,0,100,100,33,0.1,0.5,,1
100,1,10,0,100,100,34,0.1,0.5,,1
100,1,10,0,100,100,35,0.1,0.5,,1
100,1,10,0,100,100,36,0.1,0.5,,1
100,1,10,0,100,100,37,0.1,0.5,,1
100,1,10,0,100,100,38,0.1,0.5,,1
100,1,10,0,100,100,39,0.1,0.5,,1
100,1,10,0,100,100,40,0.1,0.5,,1
100,1,10,0,100,100,41,0.1,0.5,,1
100,1,10,0,100,100,42,0.1,0.5,,1
100,1,10,0,100,100,43,0.1,0.5,,1
100,1,10,0,100,100,44,0.1,0.5,,1
100,1,10,0,100,100,45,0.1,0.5,,1
100,1,10,0,100,100,46,0.1,0.5,,1
100,1,10,0,100,100,47,0.1,0.5,,1
100,1,10,0,100,100,48,0.1,0.5,,1
100,1,10,0,100,100,49,0.1,0.5,,1
100,1,10,0,100,100,50,0.1,0.5,,1
100,1,10,0,100,100,51,0.1,0.5,,1
100,1,10,0,100,100,52,0.1,0.5,,1
100,1,10,0,100,100,53,0.1,0.5,,1
100,1,10,0,100,100,54,0.1,0.5,,1
100,1,10,0,100,100,55,0.1,0.5,,1
100,1,10,0,100,100,56,0.1,0.5,,1
100,1,10,0,100,100,57,0.1,0.5,,1
100,1,10,0,100,100,58,0.1,0.5,,1
100,1,10,0,100,100,59,0.1,0.5,,1
100,1,10,0,100,100,60,0.1,0.5,,1
100,1,10,0,100,100,61,0.1,0.5,,1
100,1,10,0,100,100,62,0.1,0.5,,1
100,1,10,0,100,100,63,0.1,0.5,,1
100,1,10,0,100,100,64,0.1,0.5,,1
100,1,10,0,100,100,65,0.1,0.5,,1
100,1,10,0,100,100,66,0.1,0.5,,1
100,1,10,0,100,100,67,0.1,0.5,,1
100,1,10,0,100,100,68,0.1,0.5,,1
100,1,10,0,100,100,69,0.1,0.5,,1
100,1,10,0,100,100,70,0.1,0.5,,1
100,1,10,0,100,100,71,0.1,0.5,,1
100,1,10,0,100,100,72,0.1,0.5,,1
100,1,10,0,100,100,73,0.1,0.5,,1
100,1,10,0,100,100,74,0.1,0.5,,1
100,1,10,0,100,100,75,0.1,0.5,,1
100,1,10,0,100,100,76,0.1,0.5,,1
100,1,10,0,100,100,77,0.1,0.5,,1
100,1,10,0,100,100,78,0.1,0.5,,1
100,1,10,0,100,100,79,0.1,0.5,,1
100,1,10,0,100,100,80,0.1,0.5,,1
100,1,10,0,100,100,81,0.1,0.5,,1
100,1,10,0,100,100,82,0.1,0.5,,1
100,1,10,0,100,100,83,0.1,0.5,,1
100,1,10,0,100,100,84,0.1,0.5,,1
100,1,10,0,100,100,85,0.1,0.5,,1
100,1,10,0,100,100,86,0.1,0.5,,1
100,1,10,0,100,100,87,0.1,0.5,,1
100,1,10,0,100,100,88,0.1,0.5,,1
100,1,10,0,100,100,89,0.1,0.5,,1
100,1,10,0,100,100,90,0.1,0.5,,1
100,1,10,0,100,100,91,0.1,0.5,,1
100,1,10,0,100,100,92,0.1,0.5,,1
100,1,10,0,100,100,93,0.1,0.5,,1
100,1,10,0,100,100,94,0.1,0.5,,1
100,1,10,0,100,100,95,0.1,0.5,,1
100,1,10,0,100,100,96,0.1,0.5,,1
100,1,10,0,100,100,97,0.1,0.5,,1
100,1,10,0,100,100,98,0.1,0.5,,1
100,1,10,0,100,100,99,0.1,0.5,,1
100,1,10,0,100,100,100,0.1,0.5,,1
100,1,10,0,100,100,101,0.1,0.5,,1
100,1,10,0,100,100,102,0.1,0.5,,1
100,1,10,0,100,100,103,0.1,0.5,,1
100,1,10,0,100,100,104,0.1,0.5,,1
100,1,10,0,100,100,105,0.1,0.5,,1
100,1,10,0,100,100,106,0.1,0.5,,1
100,1,10,0,100,100,107,0.1,0.5,,1
100,1,10,0,100,100,108,0.1,0.5,,1
100,1,10,0,100,100,109,0.1,0.5,,1
100,1,10,0,100,100,110,0.1,0.5,,1
100,1,10,0,100,100,111,0.1,0.5,,1
100,1,10,0,100,100,112,0.1,0.5,,1
100,1,10,0,100,100,113,0.1,0.5,,1
100,1,10,0,100,100,114,0.1,0.5,,1
100,1,10,0,100,100,115,0.1,0.5,,1
100,1,10,0,100,100,116,0.1,0.5,,1
100,1,10,0,100,100,117,0.1,0.5,,1
100,1,10,0,100,100,118,0.1,0.5,,1
100,1,10,0,100,100,119,0.1,0.5,,1
100,1,10,0,100,100,120,0.1,0.5,,1
100,1,10,0,100,100,121,0.1,0.5,,1
100,1,10,0,100,100,122,0.1,0.5,,1
100,1,10,0,100,100,123,0.1,0.5,,1
100,1,10,0,100,100,124,0.1,0.5,,1
100,1,10,0,100,100,125,0.1,0.5,,1
100,1,10,0,100,100,126,0.1,0.5,,1
100,1,10,0,100,100,127,0.1,0.5,,1
100,1,10,0,100,100,128,0.1,0.5,,1
100,1,10,0,100,100,129,0.1,0.5,,1
100,1,10,0,100,100,130,0.1,0.5,,1
100,1,10,0,100,100,131,0.1,0.5,,1
100,1,10,0,100,100,132,0.1,0.5,,1
100,1,10,0,100,100,133,0.1,0.5,,1
100,1,10,0,100,100,134,0.1,0.5,,1
100,1,10,0,100,100,135,0.1,0.5,,1
100,1,10,0,100,100,136,0.1,0.5,,1
100,1,10,0,100,100,137,0.1,0.5,,1
100,1,10,0,100,100,138,0.1,0.5,,1
100,1,10,0,100,100,139,0.1,0.5,,1
100,1,10,0,100,100,140,0.1,0.5,,1
100,1,10,0,100,100,141,0.1,0.5,,1
100,1,10,0,100,100,142,0.1,0.5,,1
100,1,10,0,100,100,143,0.1,0.5,,1
100,1,10,0,100,100,144,0.1,0.5,,1
100,1,10,0,100,100,145,0.1,0.5,,1
100,1,10,0,100,100,146,0.1,0.5,,1
100,1,10,0,100,100,147,0.1,0.5,,1
100,1,10,0,100,100,148,0.1,0.5,,1
100,1,10,0,100,100,149,0.1,0.5,,1
100,1,10,0,100,100,150,0.1,0.5,,1
100,1,10,0,100,100,151,0.1,0.5,,1
100,1,10,0,100,100,152,0.1,0.5,,1
100,1,10,0,100,100,153,0.1,0.5,,1
100,1,10,0,100,100,154,0.1,0.5,,1
100,1,10,0,100,100,155,0.1,0.5,,1
100,1,10,0,100,100,156,0.1,0.5,,1
100,1,10,0,100,100,157,0.1,0.5,,1
100,1,10,0,100,100,158,0.1,0.5,,1
100,1,10,0,100,100,159,0.1,0.5,,1
100,1,10,0,100,100,160,0.1,0.5,,1
100,1,10,0,100,100,161,0.1,0.5,,1
100,1,10,0,100,100,162,0.1,0.5,,1
100,1,10,0,100,100,163,0.1,0.5,,1
100,1,10,0,100,100,164,0.1,0.5,,1
100,1,10,0,100,100,165,0.1,0.5,,1
100,1,10,0,100,100,166,0.1,0.5,,1
100,1,10,0,100,100,167,0.1,0.5,,1
100,1,10,0,100,100,168,0.1,0.5,,1
100,1,10,0,100,100,169,0.1,0.5,,1
100,1,10,0,100,100,170,0.1,0.5,,1
100,1,10,0,100,100,171,0.1,0.5,,1
100,1,10,0,100,100,172,0.1,0.5,,1
100,1,10,0,100,100,173,0.1,0.5,,1
100,1,10,0,100,100,174,0.1,0.5,,1
100,1,10,0,100,100,175,0.1,0.5,,1
100,1,10,0,100,100,176,0.1,0.5,,1
100,1,10,0,100,100,177,0.1,0.5,,1
100,1,10,0,100,100,178,0.1,0.5,,1
100,1,10,0,100,100,179,0.1,0.5,,1
100,1,10,0,100,100,180,0.1,0.5,,1
100,1,10,0,100,100,181,0.1,0.5,,1
100,1,10,0,100,100,182,0.1,0.5,,1
100,1,10,0,100,100,183,0.1,0.5,,1
100,1,10,0,100,100,184,0.1,0.5,,1
100,1,10,0,100,100,185,0.1,0.5,,1
100,1,10,0,100,100,186,0.1,0.5,,1
100,1,10,0,100,100,187,0.1,0.5,,1
100,1,10,0,100,100,188,0.1,0.5,,1
100,1,10,0,100,100,189,0.1,0.5,,1
100,1,10,0,100,100,190,0.1,0.5,,1
100,1,10,0,100,100,191,0.1,0.5,,1
100,1,10,0,100,100,192,0.1,0.5,,1
100,1,10,0,100,100,193,0.1,0.5,,1
100,1,10,0,100,100,194,0.1,0.5,,1
100,1,10,0,100,100,195,0.1,0.5,,1
100,1,10,0,100,100,196,0.1,0.5,,1
100,1,10,0,100,100,197,0.1,0.5,,1
100,1,10,0,100,100,198,0.1,0.5,,1
100,1,10,0,100,100,199,0.1,0.5,,1
100,1,10,0,100,100,200,0.1,0.5,,1
100,1,40,0,100,100,1,0.1,0.5,,1
100,1,40,0,100,100,2,0.1,0.5,,1
100,1,40,0,100,100,3,0.1,0.5,,1
100,1,40,0,100,100,4,0.1,0.5,,1
100,1,40,0,100,100,5,0.1,0.5,,1
100,1,40,0,100,100,6,0.1,0.5,,1
100,1,40,0,100,100,7,0.1,0.5,,1
100,1,40,0,100,100,8,0.1,0.5,,1
100,1,40,0,100,100,9,0.1,0.5,,1
100,1,40,0,100,100,10,0.1,0.5,,1
100,1,40,0,100,100,11,0.1,0.5,,1
100,1,40,0,100,100,12,0.1,0.5,,1
100,1,40,0,100,100,13,0.1,0.5,,1
100,1,40,0,100,100,14,0.1,0.5,,1
100,1,40,0,100,100,15,0.1,0.5,,1
100,1,40,0,100,100,16,0.1,0.5,,1
100,1,40,0,100,100,17,0.1,0.5,,1
100,1,40,0,100,100,18,0.1,0.5,,1
100,1,40,0,100,100,19,0.1,0.5,,1
100,1,40,0,100,100,20,0.1,0.5,,1
100,1,40,0,100,100,21,0.1,0.5,,1
100,1,40,0,100,100,22,0.1,0.5,,1
100,1,40,0,100,100,23,0.1,0.5,,1
100,1,40,0,100,100,24,0.1,0.5,,1
100,1,40,0,100,100,25,0.1,0.5,,1
100,1,40,0,100,100,26,0.1,0.5,,1
100,1,40,0,100,100,27,0.1,0.5,,1
100,1,40,0,100,100,28,0.1,0.5,,1
100,1,40,0,100,100,29,0.1,0.5,,1
100,1,40,0,100,100,30,0.1,0.5,,1
100,1,40,0,100,100,31,0.1,0.5,,1
100,1,40,0,100,100,32,0.1,0.5,,1
100,1,40,0,100,100,33,0.1,0.5,,1
100,1,40,0,100,100,34,0.1,0.5,,1
100,1,40,0,100,100,35,0.1,0.5,,1
100,1,40,0,100,100,36,0.1,0.5,,1
100,1,40,0,100,100,37,0.1,0.5,,1
100,1,40,0,100,100,38,0.1,0.5,,1
100,1,40,0,100,100,39,0.1,0.5,,1
100,1,40,0,100,100,40,0.1,0.5,,1
100,1,40,0,100,100,41,0.1,0.5,,1
100,1,40,0,100,100,42,0.1,0.5,,1
100,1,40,0,100,100,43,0.1,0.5,,1
100,1,40,0,100,100,44,0.1,0.5,,1
100,1,40,0,100,100,45,0.1,0.5,,1
